,Players
0,PA Patel
1,JC Buttler
2,RG Sharma
3,N Rana
4,AT Rayudu
5,KH Pandya
6,KA Pollard
7,HH Pandya
8,TG Southee
9,Harbhajan Singh
10,MJ McClenaghan
11,MG Johnson
12,KV Sharma
13,JJ Bumrah
14,SL Malinga
15,LMP Simmons
16,SS Tiwary
17,L Ronchi
18,ST Jayasuriya
19,DJ Thornely
20,RV Uthappa
21,PR Shah
22,AM Nayar
23,SM Pollock
24,DJ Bravo
25,MA Khote
26,A Nehra
27,DS Kulkarni
28,AM Rahane
29,MK Pandey
30,YV Takawale
31,RR Raje
32,SR Tendulkar
33,DR Smith
34,SD Chitnis
35,CRD Fernando
36,VS Yeligati
37,S Dhawan
38,JP Duminy
39,Z Khan
40,GR Napier
41,C Nanda
42,Mohammad Ashraful
43,AP Tare
44,R Sathish
45,R McLaren
46,AN Ahmed
47,C Madan
48,STR Binny
49,DJ Jacobs
50,JEC Franklin
51,A Symonds
52,AG Murtaza
53,AC Blizzard
54,TL Suman
55,MM Patel
56,RE Levi
57,KD Karthik
58,SA Yadav
59,PP Ojha
60,CJ McKay
61,RP Singh
62,NLTC Perera
63,RJ Peterson
64,HH Gibbs
65,RT Ponting
66,R Dhawan
67,GJ Maxwell
68,NM Coulter-Nile
69,MEK Hussey
70,CJ Anderson
71,CM Gautam
72,BR Dunk
73,S Gopal
74,M de Lange
75,P Kumar
76,AJ Finch
77,J Suchith
78,UBT Chand
79,R Vinay Kumar
80,MJ Guptill
